date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:42	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-239b%22	https://themewagon.github.io/robots.txt		(from )
15:47:42	22436/22436	---M-Z	200	added ('OK')	text/html	etag:W/%2263d79a09-57a4%22	https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209	C:/Meus%20Sites/Wesley/themewagon.github.io/Cycle/index196c.html	(from )
15:47:42	140421/140421	---M-Z	200	added ('OK')	text/css	etag:W/%2263d79a09-22485%22	https://themewagon.github.io/Cycle/css/bootstrap.min.css	C:/Meus%20Sites/Wesley/themewagon.github.io/Cycle/css/bootstrap.min.css	(from https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209)
15:47:42	18641/18641	---M-Z	200	added ('OK')	text/css	etag:W/%2263d79a09-48d1%22	https://themewagon.github.io/Cycle/css/style.css	C:/Meus%20Sites/Wesley/themewagon.github.io/Cycle/css/style.css	(from https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209)
15:47:43	11558/11558	---M-Z	200	added ('OK')	text/css	etag:W/%2263d79a09-2d26%22	https://themewagon.github.io/Cycle/css/responsive.css	C:/Meus%20Sites/Wesley/themewagon.github.io/Cycle/css/responsive.css	(from https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209)
15:47:43	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://themewagon.github.io/Cycle/images/fevicon.png	C:/Meus%20Sites/Wesley/themewagon.github.io/Cycle/images/fevicon.png	(from https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209)
15:47:43	42839/42839	---M-Z	200	added ('OK')	text/css	etag:W/%2263d79a09-a757%22	https://themewagon.github.io/Cycle/css/jquery.mCustomScrollbar.min.css	C:/Meus%20Sites/Wesley/themewagon.github.io/Cycle/css/jquery.mCustomScrollbar.min.css	(from https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209)
15:47:43	21658/21658	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	https://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Meus%20Sites/Wesley/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209)
15:47:44	3248/3248	---M-Z	200	added ('OK')	text/css	etag:W/%2263d79a09-cb0%22	https://themewagon.github.io/Cycle/css/owl.carousel.min.css	C:/Meus%20Sites/Wesley/themewagon.github.io/Cycle/css/owl.carousel.min.css	(from https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209)
15:47:44	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://themewagon.github.io/Cycle/css/owl.theme.default.min.css	C:/Meus%20Sites/Wesley/themewagon.github.io/Cycle/css/owl.theme.default.min.css	(from https://themewagon.github.io/Cycle/?_ga=2.249002119.1054719384.1678732589-763095556.1678367209)
